infinitive;infinitif;group;voice;tense;person;latin;french;primitive tenses
dare;donner;1;actif;imparfait;5;dabatis;vous donniez;do, das, dare, dedi, datum
dare;donner;1;actif;imparfait;6;dabant;ils donnaient;do, das, dare, dedi, datum
dare;donner;1;actif;parfait;1;dedi;j'ai donné;do, das, dare, dedi, datum
dare;donner;1;actif;parfait;2;dedisti;tu as donné;do, das, dare, dedi, datum
dare;donner;1;actif;parfait;3;dedit;il a donné;do, das, dare, dedi, datum
dare;donner;1;actif;parfait;4;dedimus;nous avons donné;do, das, dare, dedi, datum
dare;donner;1;actif;parfait;5;dedistis;vous avez donné;do, das, dare, dedi, datum
dare;donner;1;actif;parfait;6;dederunt;ils ont donné;do, das, dare, dedi, datum
dare;donner;1;actif;futur antérieur;1;dedero;j'aurai donné;do, das, dare, dedi, datum
dare;donner;1;actif;futur antérieur;2;dederis;tu auras donné;do, das, dare, dedi, datum
dare;donner;1;actif;futur antérieur;3;dederit;il aura donné;do, das, dare, dedi, datum
dare;donner;1;actif;futur antérieur;4;dederimus;nous aurons donné;do, das, dare, dedi, datum
dare;donner;1;actif;futur antérieur;5;dederitis;vous aurez donné;do, das, dare, dedi, datum
dare;donner;1;actif;futur antérieur;6;dederint;ils auront donné;do, das, dare, dedi, datum
dare;donner;1;actif;plus-que-parfait;1;dederam;j'avais donné;do, das, dare, dedi, datum
dare;donner;1;actif;plus-que-parfait;2;dederas;tu avais donné;do, das, dare, dedi, datum
dare;donner;1;actif;plus-que-parfait;3;dederat;il avait donné;do, das, dare, dedi, datum
dare;donner;1;actif;plus-que-parfait;4;dederamus;nous avions donné;do, das, dare, dedi, datum
dare;donner;1;actif;plus-que-parfait;5;dederatis;vous aviez donné;do, das, dare, dedi, datum
dare;donner;1;actif;plus-que-parfait;6;dederant;ils avaient donné;do, das, dare, dedi, datum
existimare;estimer;1;actif;présent;1;existimo;j'estime;existimo, as, are, avi, atum
existimare;estimer;1;actif;présent;2;existimas;tu estimes;existimo, as, are, avi, atum
existimare;estimer;1;actif;présent;3;existimat;il estime;existimo, as, are, avi, atum
existimare;estimer;1;actif;présent;4;existimamus;nous estimons;existimo, as, are, avi, atum
existimare;estimer;1;actif;présent;5;existimatis;vous estimez;existimo, as, are, avi, atum
existimare;estimer;1;actif;présent;6;existimant;ils estiment;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur;1;existimabo;j'estimerai;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur;2;existimabis;tu estimeras;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur;3;existimabit;il estimera;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur;4;existimabimus;nous estimerons;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur;5;existimabitis;vous estimerez;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur;6;existimabunt;ils estimeront;existimo, as, are, avi, atum
existimare;estimer;1;actif;imparfait;1;existimabam;j'estimais;existimo, as, are, avi, atum
existimare;estimer;1;actif;imparfait;2;existimabas;tu estimais;existimo, as, are, avi, atum
existimare;estimer;1;actif;imparfait;3;existimabat;il estimait;existimo, as, are, avi, atum
existimare;estimer;1;actif;imparfait;4;existimabamus;nous estimions;existimo, as, are, avi, atum
existimare;estimer;1;actif;imparfait;5;existimabatis;vous estimiez;existimo, as, are, avi, atum
existimare;estimer;1;actif;imparfait;6;existimabant;ils estimaient;existimo, as, are, avi, atum
existimare;estimer;1;actif;parfait;1;existimavi;j'ai estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;parfait;2;existimavisti;tu as estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;parfait;3;existimavit;il a estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;parfait;4;existimavimus;nous avons estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;parfait;5;existimavistis;vous avez estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;parfait;6;existimaverunt;ils ont estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur antérieur;1;existimavero;j'aurai estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur antérieur;2;existimaveris;tu auras estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur antérieur;3;existimaverit;il aura estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur antérieur;4;existimaverimus;nous aurons estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur antérieur;5;existimaveritis;vous aurez estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;futur antérieur;6;existimaverint;ils auront estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;plus-que-parfait;1;existimaveram;j'avais estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;plus-que-parfait;2;existimaveras;tu avais estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;plus-que-parfait;3;existimaverat;il avait estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;plus-que-parfait;4;existimaveramus;nous avions estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;plus-que-parfait;5;existimaveratis;vous aviez estimé;existimo, as, are, avi, atum
existimare;estimer;1;actif;plus-que-parfait;6;existimaverant;ils avaient estimé;existimo, as, are, avi, atum
existimare;penser;1;actif;présent;1;existimo;je pense;existimo, as, are, avi, atum
existimare;penser;1;actif;présent;2;existimas;tu penses;existimo, as, are, avi, atum
existimare;penser;1;actif;présent;3;existimat;il pense;existimo, as, are, avi, atum
existimare;penser;1;actif;présent;4;existimamus;nous pensons;existimo, as, are, avi, atum
existimare;penser;1;actif;présent;5;existimatis;vous pensez;existimo, as, are, avi, atum
existimare;penser;1;actif;présent;6;existimant;ils pensent;existimo, as, are, avi, atum
existimare;penser;1;actif;futur;1;existimabo;je penserai;existimo, as, are, avi, atum
existimare;penser;1;actif;futur;2;existimabis;tu penseras;existimo, as, are, avi, atum
existimare;penser;1;actif;futur;3;existimabit;il pensera;existimo, as, are, avi, atum
existimare;penser;1;actif;futur;4;existimabimus;nous penserons;existimo, as, are, avi, atum
existimare;penser;1;actif;futur;5;existimabitis;vous penserez;existimo, as, are, avi, atum
existimare;penser;1;actif;futur;6;existimabunt;ils penseront;existimo, as, are, avi, atum
existimare;penser;1;actif;imparfait;1;existimabam;je pensais;existimo, as, are, avi, atum
existimare;penser;1;actif;imparfait;2;existimabas;tu pensais;existimo, as, are, avi, atum
existimare;penser;1;actif;imparfait;3;existimabat;il pensait;existimo, as, are, avi, atum
existimare;penser;1;actif;imparfait;4;existimabamus;nous pensions;existimo, as, are, avi, atum
existimare;penser;1;actif;imparfait;5;existimabatis;vous pensiez;existimo, as, are, avi, atum
existimare;penser;1;actif;imparfait;6;existimabant;ils pensaient;existimo, as, are, avi, atum
existimare;penser;1;actif;parfait;1;existimavi;j'ai pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;parfait;2;existimavisti;tu as pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;parfait;3;existimavit;il a pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;parfait;4;existimavimus;nous avons pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;parfait;5;existimavistis;vous avez pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;parfait;6;existimaverunt;ils ont pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;futur antérieur;1;existimavero;j'aurai pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;futur antérieur;2;existimaveris;tu auras pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;futur antérieur;3;existimaverit;il aura pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;futur antérieur;4;existimaverimus;nous aurons pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;futur antérieur;5;existimaveritis;vous aurez pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;futur antérieur;6;existimaverint;ils auront pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;plus-que-parfait;1;existimaveram;j'avais pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;plus-que-parfait;2;existimaveras;tu avais pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;plus-que-parfait;3;existimaverat;il avait pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;plus-que-parfait;4;existimaveramus;nous avions pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;plus-que-parfait;5;existimaveratis;vous aviez pensé;existimo, as, are, avi, atum
existimare;penser;1;actif;plus-que-parfait;6;existimaverant;ils avaient pensé;existimo, as, are, avi, atum
laudare;louer;1;actif;présent;1;laudo;je loue;laudo, as, are, avi, atum
laudare;louer;1;actif;présent;2;laudas;tu loues;laudo, as, are, avi, atum
laudare;louer;1;actif;présent;3;laudat;il loue;laudo, as, are, avi, atum
laudare;louer;1;actif;présent;4;laudamus;nous louons;laudo, as, are, avi, atum
laudare;louer;1;actif;présent;5;laudatis;vous louez;laudo, as, are, avi, atum
laudare;louer;1;actif;présent;6;laudant;ils louent;laudo, as, are, avi, atum
laudare;louer;1;actif;futur;1;laudabo;je louerai;laudo, as, are, avi, atum
laudare;louer;1;actif;futur;2;laudabis;tu loueras;laudo, as, are, avi, atum
laudare;louer;1;actif;futur;3;laudabit;il louera;laudo, as, are, avi, atum
laudare;louer;1;actif;futur;4;laudabimus;nous louerons;laudo, as, are, avi, atum
laudare;louer;1;actif;futur;5;laudabitis;vous louerez;laudo, as, are, avi, atum
laudare;louer;1;actif;futur;6;laudabunt;ils loueront;laudo, as, are, avi, atum
laudare;louer;1;actif;imparfait;1;laudabam;je louais;laudo, as, are, avi, atum
laudare;louer;1;actif;imparfait;2;laudabas;tu louais;laudo, as, are, avi, atum
laudare;louer;1;actif;imparfait;3;laudabat;il louait;laudo, as, are, avi, atum
laudare;louer;1;actif;imparfait;4;laudabamus;nous louions;laudo, as, are, avi, atum
laudare;louer;1;actif;imparfait;5;laudabatis;vous louiez;laudo, as, are, avi, atum
laudare;louer;1;actif;imparfait;6;laudabant;ils louaient;laudo, as, are, avi, atum
laudare;louer;1;actif;parfait;1;laudavi;j'ai loué;laudo, as, are, avi, atum
laudare;louer;1;actif;parfait;2;laudavisti;tu as loué;laudo, as, are, avi, atum
laudare;louer;1;actif;parfait;3;laudavit;il a loué;laudo, as, are, avi, atum
laudare;louer;1;actif;parfait;4;laudavimus;nous avons loué;laudo, as, are, avi, atum
laudare;louer;1;actif;parfait;5;laudavistis;vous avez loué;laudo, as, are, avi, atum
laudare;louer;1;actif;parfait;6;laudaverunt;ils ont loué;laudo, as, are, avi, atum
laudare;louer;1;actif;futur antérieur;1;laudavero;j'aurai loué;laudo, as, are, avi, atum
laudare;louer;1;actif;futur antérieur;2;laudaveris;tu auras loué;laudo, as, are, avi, atum
laudare;louer;1;actif;futur antérieur;3;laudaverit;il aura loué;laudo, as, are, avi, atum
laudare;louer;1;actif;futur antérieur;4;laudaverimus;nous aurons loué;laudo, as, are, avi, atum
laudare;louer;1;actif;futur antérieur;5;laudaveritis;vous aurez loué;laudo, as, are, avi, atum
laudare;louer;1;actif;futur antérieur;6;laudaverint;ils auront loué;laudo, as, are, avi, atum
laudare;louer;1;actif;plus-que-parfait;1;laudaveram;j'avais loué;laudo, as, are, avi, atum
laudare;louer;1;actif;plus-que-parfait;2;laudaveras;tu avais loué;laudo, as, are, avi, atum
laudare;louer;1;actif;plus-que-parfait;3;laudaverat;il avait loué;laudo, as, are, avi, atum
laudare;louer;1;actif;plus-que-parfait;4;laudaveramus;nous avions loué;laudo, as, are, avi, atum
laudare;louer;1;actif;plus-que-parfait;5;laudaveratis;vous aviez loué;laudo, as, are, avi, atum
laudare;louer;1;actif;plus-que-parfait;6;laudaverant;ils avaient loué;laudo, as, are, avi, atum
laudare;approuver;1;actif;présent;1;laudo;j'approuve;laudo, as, are, avi, atum
laudare;approuver;1;actif;présent;2;laudas;tu approuves;laudo, as, are, avi, atum
laudare;approuver;1;actif;présent;3;laudat;il approuve;laudo, as, are, avi, atum
laudare;approuver;1;actif;présent;4;laudamus;nous approuvons;laudo, as, are, avi, atum
laudare;approuver;1;actif;présent;5;laudatis;vous approuvez;laudo, as, are, avi, atum
laudare;approuver;1;actif;présent;6;laudant;ils approuvent;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur;1;laudabo;j'approuverai;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur;2;laudabis;tu approuveras;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur;3;laudabit;il approuvera;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur;4;laudabimus;nous approuverons;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur;5;laudabitis;vous approuverez;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur;6;laudabunt;ils approuveront;laudo, as, are, avi, atum
laudare;approuver;1;actif;imparfait;1;laudabam;j'approuvais;laudo, as, are, avi, atum
laudare;approuver;1;actif;imparfait;2;laudabas;tu approuvais;laudo, as, are, avi, atum
laudare;approuver;1;actif;imparfait;3;laudabat;il approuvait;laudo, as, are, avi, atum
laudare;approuver;1;actif;imparfait;4;laudabamus;nous approuvions;laudo, as, are, avi, atum
laudare;approuver;1;actif;imparfait;5;laudabatis;vous approuviez;laudo, as, are, avi, atum
laudare;approuver;1;actif;imparfait;6;laudabant;ils approuvaient;laudo, as, are, avi, atum
laudare;approuver;1;actif;parfait;1;laudavi;j'ai approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;parfait;2;laudavisti;tu as approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;parfait;3;laudavit;il a approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;parfait;4;laudavimus;nous avons approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;parfait;5;laudavistis;vous avez approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;parfait;6;laudaverunt;ils ont approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur antérieur;1;laudavero;j'aurai approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur antérieur;2;laudaveris;tu auras approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur antérieur;3;laudaverit;il aura approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur antérieur;4;laudaverimus;nous aurons approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur antérieur;5;laudaveritis;vous aurez approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;futur antérieur;6;laudaverint;ils auront approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;plus-que-parfait;1;laudaveram;j'avais approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;plus-que-parfait;2;laudaveras;tu avais approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;plus-que-parfait;3;laudaverat;il avait approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;plus-que-parfait;4;laudaveramus;nous avions approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;plus-que-parfait;5;laudaveratis;vous aviez approuvé;laudo, as, are, avi, atum
laudare;approuver;1;actif;plus-que-parfait;6;laudaverant;ils avaient approuvé;laudo, as, are, avi, atum
narrare;raconter;1;actif;présent;1;narro;je raconte;narro, as, are, avi, atum
narrare;raconter;1;actif;présent;2;narras;tu racontes;narro, as, are, avi, atum
narrare;raconter;1;actif;présent;3;narrat;il raconte;narro, as, are, avi, atum
narrare;raconter;1;actif;présent;4;narramus;nous racontons;narro, as, are, avi, atum
narrare;raconter;1;actif;présent;5;narratis;vous racontez;narro, as, are, avi, atum
narrare;raconter;1;actif;présent;6;narrant;ils racontent;narro, as, are, avi, atum
narrare;raconter;1;actif;futur;1;narrabo;je raconterai;narro, as, are, avi, atum
narrare;raconter;1;actif;futur;2;narrabis;tu raconteras;narro, as, are, avi, atum
narrare;raconter;1;actif;futur;3;narrabit;il racontera;narro, as, are, avi, atum
narrare;raconter;1;actif;futur;4;narrabimus;nous raconterons;narro, as, are, avi, atum
narrare;raconter;1;actif;futur;5;narrabitis;vous raconterez;narro, as, are, avi, atum
narrare;raconter;1;actif;futur;6;narrabunt;ils raconteront;narro, as, are, avi, atum
narrare;raconter;1;actif;imparfait;1;narrabam;je racontais;narro, as, are, avi, atum
narrare;raconter;1;actif;imparfait;2;narrabas;tu racontais;narro, as, are, avi, atum
narrare;raconter;1;actif;imparfait;3;narrabat;il racontait;narro, as, are, avi, atum
narrare;raconter;1;actif;imparfait;4;narrabamus;nous racontions;narro, as, are, avi, atum
narrare;raconter;1;actif;imparfait;5;narrabatis;vous racontiez;narro, as, are, avi, atum
narrare;raconter;1;actif;imparfait;6;narrabant;ils racontaient;narro, as, are, avi, atum
narrare;raconter;1;actif;parfait;1;narravi;j'ai raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;parfait;2;narravisti;tu as raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;parfait;3;narravit;il a raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;parfait;4;narravimus;nous avons raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;parfait;5;narravistis;vous avez raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;parfait;6;narraverunt;ils ont raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;futur antérieur;1;narravero;j'aurai raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;futur antérieur;2;narraveris;tu auras raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;futur antérieur;3;narraverit;il aura raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;futur antérieur;4;narraverimus;nous aurons raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;futur antérieur;5;narraveritis;vous aurez raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;futur antérieur;6;narraverint;ils auront raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;plus-que-parfait;1;narraveram;j'avais raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;plus-que-parfait;2;narraveras;tu avais raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;plus-que-parfait;3;narraverat;il avait raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;plus-que-parfait;4;narraveramus;nous avions raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;plus-que-parfait;5;narraveratis;vous aviez raconté;narro, as, are, avi, atum
narrare;raconter;1;actif;plus-que-parfait;6;narraverant;ils avaient raconté;narro, as, are, avi, atum
pugnare;combattre;1;actif;présent;1;pugno;je combats;pugno, as, are, avi, atum
pugnare;combattre;1;actif;présent;2;pugnas;tu combats;pugno, as, are, avi, atum
pugnare;combattre;1;actif;présent;3;pugnat;il combat;pugno, as, are, avi, atum
pugnare;combattre;1;actif;présent;4;pugnamus;nous combattons;pugno, as, are, avi, atum
pugnare;combattre;1;actif;présent;5;pugnatis;vous combattez;pugno, as, are, avi, atum
pugnare;combattre;1;actif;présent;6;pugnant;ils combattent;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur;1;pugnabo;je combattrai;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur;2;pugnabis;tu combattras;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur;3;pugnabit;il combattra;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur;4;pugnabimus;nous combattrons;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur;5;pugnabitis;vous combattrez;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur;6;pugnabunt;ils combattront;pugno, as, are, avi, atum
pugnare;combattre;1;actif;imparfait;1;pugnabam;je combattais;pugno, as, are, avi, atum
pugnare;combattre;1;actif;imparfait;2;pugnabas;tu combattais;pugno, as, are, avi, atum
pugnare;combattre;1;actif;imparfait;3;pugnabat;il combattait;pugno, as, are, avi, atum
pugnare;combattre;1;actif;imparfait;4;pugnabamus;nous combattions;pugno, as, are, avi, atum
pugnare;combattre;1;actif;imparfait;5;pugnabatis;vous combattiez;pugno, as, are, avi, atum
pugnare;combattre;1;actif;imparfait;6;pugnabant;ils combattaient;pugno, as, are, avi, atum
pugnare;combattre;1;actif;parfait;1;pugnavi;j'ai combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;parfait;2;pugnavisti;tu as combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;parfait;3;pugnavit;il a combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;parfait;4;pugnavimus;nous avons combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;parfait;5;pugnavistis;vous avez combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;parfait;6;pugnaverunt;ils ont combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur antérieur;1;pugnavero;j'aurai combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur antérieur;2;pugnaveris;tu auras combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur antérieur;3;pugnaverit;il aura combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur antérieur;4;pugnaverimus;nous aurons combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur antérieur;5;pugnaveritis;vous aurez combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;futur antérieur;6;pugnaverint;ils auront combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;plus-que-parfait;1;pugnaveram;j'avais combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;plus-que-parfait;2;pugnaveras;tu avais combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;plus-que-parfait;3;pugnaverat;il avait combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;plus-que-parfait;4;pugnaveramus;nous avions combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;plus-que-parfait;5;pugnaveratis;vous aviez combattu;pugno, as, are, avi, atum
pugnare;combattre;1;actif;plus-que-parfait;6;pugnaverant;ils avaient combattu;pugno, as, are, avi, atum
putare;penser;1;actif;présent;1;puto;je pense;puto, as, are, avi, atum
putare;penser;1;actif;présent;2;putas;tu penses;puto, as, are, avi, atum
putare;penser;1;actif;présent;3;putat;il pense;puto, as, are, avi, atum
putare;penser;1;actif;présent;4;putamus;nous pensons;puto, as, are, avi, atum
putare;penser;1;actif;présent;5;putatis;vous pensez;puto, as, are, avi, atum
putare;penser;1;actif;présent;6;putant;ils pensent;puto, as, are, avi, atum
putare;penser;1;actif;futur;1;putabo;je penserai;puto, as, are, avi, atum
putare;penser;1;actif;futur;2;putabis;tu penseras;puto, as, are, avi, atum
putare;penser;1;actif;futur;3;putabit;il pensera;puto, as, are, avi, atum
putare;penser;1;actif;futur;4;putabimus;nous penserons;puto, as, are, avi, atum
putare;penser;1;actif;futur;5;putabitis;vous penserez;puto, as, are, avi, atum
putare;penser;1;actif;futur;6;putabunt;ils penseront;puto, as, are, avi, atum
putare;penser;1;actif;imparfait;1;putabam;je pensais;puto, as, are, avi, atum
putare;penser;1;actif;imparfait;2;putabas;tu pensais;puto, as, are, avi, atum
putare;penser;1;actif;imparfait;3;putabat;il pensait;puto, as, are, avi, atum
putare;penser;1;actif;imparfait;4;putabamus;nous pensions;puto, as, are, avi, atum
putare;penser;1;actif;imparfait;5;putabatis;vous pensiez;puto, as, are, avi, atum
putare;penser;1;actif;imparfait;6;putabant;ils pensaient;puto, as, are, avi, atum
putare;penser;1;actif;parfait;1;putavi;j'ai pensé;puto, as, are, avi, atum
putare;penser;1;actif;parfait;2;putavisti;tu as pensé;puto, as, are, avi, atum
